Stasiun;Curah Hujan (mm);Tgl CH;Tx (oC);Tgl Tx;Tn (oC);Tgl Tn;Tav (oC);Tgl Tav;RH (%);Tgl RH;Wx (knot);Tgl Wx
Stasiun Meteorologi Maritim Tanjung Emas;155.0;24/02/2021;36.4;10/10/2021;21.8;31/07/2020;31.0;13/11/2020;51;06/07/2021;3;08/04/2020
Stasiun Meteorologi Maritim Tanjung Perak;101.8;29/02/2020;37.5;22/10/2021;22.0;30/07/2020;31.7;13/11/2020;59;12/10/2021;2;15/03/2020
Stasiun Meteorologi Maritim Tanjung Priok;155.5;08/02/2020;35.6;20/03/2022;20.2;05/10/2020;31.4;24/05/2020;60;20/03/2022;2;14/07/2021
Stasiun Meteorologi Maritim Tegal;189.1;01/01/2020;35.4;25/10/2021;21.6;31/07/2020;30.1;23/12/2020;62;30/07/2020;2;21/04/2020
Stasiun Meteorologi Maritim Teluk Bayur;235.2;10/09/2020;35.9;22/02/2020;21.4;20/12/2021;30.8;23/02/2020;54;23/02/2020;1;03/01/2021
Stasiun Meteorologi Mathilda Batlayeri;225.9;27/02/2021;35.3;01/03/2020;20.0;24/07/2022;31.0;27/01/2020;68;22/07/2022;2;10/04/2020
Stasiun Meteorologi Minangkabau;250.0;30/09/2021;35.0;21/02/2020;20.4;28/03/2022;29.3;22/02/2020;70;19/02/2022;2;06/04/2020
Stasiun Meteorologi Mopah;136.1;31/07/2021;34.4;24/11/2020;20.3;14/09/2020;30.1;18/01/2020;65;30/09/2020;3;08/04/2020
Stasiun Meteorologi Mozez Kilangin;191.0;30/12/2020;35.3;26/02/2020;19.0;18/05/2022;29.4;27/02/2020;70;02/03/2020;2;05/02/2020
Stasiun Meteorologi Mutiara Sis-Al Jufri;81.1;20/10/2021;37.4;21/01/2020;19.4;22/02/2022;30.3;04/04/2020;63;20/12/2020;2;03/06/2020
Stasiun Meteorologi Nabire;169.9;04/03/2020;83.0;07/05/2020;20.8;05/07/2021;29.9;09/11/2020;69;06/12/2021;2;01/07/2021
