Stasiun;Curah Hujan (mm);Tgl CH;Tx (oC);Tgl Tx;Tn (oC);Tgl Tn;Tav (oC);Tgl Tav;RH (%);Tgl RH;Wx (knot);Tgl Wx
Stasiun Meteorologi Tanjung Harapan;143.9;02/12/2020;36.5;02/04/2021;20.0;03/06/2021;29.6;28/08/2020;74;27/05/2020;1;15/02/2020
Stasiun Meteorologi Tardamu;113.5;05/04/2021;36.8;12/11/2020;17.4;07/07/2022;32.4;21/11/2020;57;01/08/2020;2;12/03/2020
Stasiun Meteorologi Tarempa;230.9;21/12/2020;9999.0;12/04/2021;21.0;22/08/2020;30.4;09/08/2020;71;07/06/2021;1;04/06/2020
Stasiun Meteorologi Tebelian;149.0;10/02/2022;36.1;27/02/2021;20.0;03/01/2021;29.3;24/05/2022;74;19/08/2022;2;03/04/2020
Stasiun Meteorologi Tjilik Riwut;185.7;05/01/2020;35.4;07/03/2020;21.0;16/01/2021;30.4;11/03/2020;71;05/07/2022;2;14/03/2020
Stasiun Meteorologi Toraja;156.8;22/05/2020;32.2;31/01/2020;14.6;25/10/2020;24.9;06/05/2020;70;03/04/2021;1;07/01/2021
Stasiun Meteorologi Torea;203.2;07/07/2022;35.2;02/02/2020;20.0;24/01/2020;29.3;30/01/2020;68;10/02/2020;2;19/02/2020
Stasiun Meteorologi Trunojoyo;116.4;26/05/2022;35.0;14/11/2020;20.6;30/07/2020;31.4;16/11/2020;59;05/10/2020;2;29/03/2021
Stasiun Meteorologi Tuban;159.0;20/11/2021;34.9;08/10/2021;19.6;26/07/2021;30.5;13/11/2020;59;27/08/2021;2;06/04/2020
Stasiun Meteorologi Tunggul Wulung;133.2;29/11/2020;330.0;10/07/2020;20.5;06/08/2020;29.6;20/01/2020;70;20/01/2021;2;08/04/2020
Stasiun Meteorologi Umbu Mehang Kunda;97.4;20/05/2020;37.0;14/06/2021;17.4;25/07/2022;31.0;19/11/2020;49;24/06/2020;2;28/01/2021
Stasiun Meteorologi Utarom;156.1;07/07/2022;36.9;30/01/2020;21.8;21/06/2022;32.2;29/01/2020;65;29/01/2020;2;23/03/2020
Stasiun Meteorologi Wamena Jaya Wijaya;82.4;17/02/2022;30.4;18/05/2020;9.4;30/06/2022;22.8;05/05/2021;64;03/11/2021;2;23/01/2020
Stasiun Meteorologi Yogyakarta;71.3;27/05/2022;32.9;11/05/2022;17.8;26/07/2022;29.5;05/05/2022;70;25/07/2022;2;03/06/2022
Stasiun Meteorologi Yuvai Semaring;97.7;20/05/2021;;;14.2;08/06/2022;25.3;08/05/2020;71;14/10/2021;1;01/01/2020
Stasiun Meteorologi Zainuddin Abdul Madjid;127.0;29/05/2020;36.9;10/02/2022;16.6;25/07/2022;29.2;14/11/2020;70;20/08/2022;1;02/04/2021
Stasiun Pemantau Atmosfer Global Bukit Koto Tabang;47.0;23/08/2020;29.4;12/08/2020;15.2;02/12/2020;23.7;20/08/2020;83;24/08/2020;2;06/08/2020
